beta,N_S,J,theta,MT,n_cycles,eps,D_initial,D_final,n_star,E_initial,E_final,E_gibbs,bias_E_final_per_site
0.4,3,0.5,0.25,18,180,0.05,0.2935917226859842,0.0022655767678694144,19,0.0,-1.3057889578910273,-1.3010518088359246,0.0015790496850342322
0.6,3,0.5,0.25,18,180,0.05,0.40866179152003795,0.0029321951912722913,29,0.0,-1.806056040504349,-1.8010144363455423,0.001680534719602278
0.8,3,0.5,0.25,18,180,0.05,0.5118808732878574,0.0033399350831997653,36,0.0,-2.1851702842924534,-2.180588452292481,0.0015272773333241396
1.0,3,0.5,0.25,18,180,0.05,0.5902032772811086,0.003570844899042301,43,0.0,-2.4601808812247805,-2.456307716480147,0.0012910549148778354
1.3,3,0.5,0.25,18,180,0.05,0.6653457135284564,0.0036724222217690327,50,0.0,-2.7294932837664545,-2.7264888112347183,0.0010014908439120636
1.7,3,0.5,0.25,18,180,0.05,0.7533733330695331,0.003614315568204287,57,0.0,-2.92455687962388,-2.9217686663147093,0.0009294044363901873
2.2,3,0.5,0.25,18,180,0.05,0.8165760296929905,0.0036444280899460965,62,0.0,-3.0378207393001184,-3.034215789327651,0.0012016499908225065
2.8,3,0.5,0.25,18,180,0.05,0.8505147068893535,0.0037909151811324785,65,0.0,-3.093374683724784,-3.0888206013459096,0.0015180274596248526
3.5,3,0.5,0.25,18,180,0.05,0.8659581022850753,0.003518061090746865,68,0.0,-3.116215124890722,-3.112013849797492,0.0014004250310766981
