geometry,rho0,beta,J,theta,MT,n_cycles,eps,n_star,D_initial,D_final,E_initial,E_final,E_gibbs,N_S,bias_E_final,bias_E_final_per_site
1d4,I/d,0.4,0.5,0.25,30,300,0.05,22,0.336474,0.009908,0.0,-1.7672,-1.761692,4,0.005508000000000068,0.001377000000000017
1d4,I/d,0.6,0.5,0.25,30,300,0.05,29,0.464815,0.014047,0.0,-2.439391,-2.433439,4,0.005952000000000179,0.0014880000000000448
1d4,I/d,0.8,0.5,0.25,30,300,0.05,38,0.571586,0.01603,0.0,-2.945838,-2.93997,4,0.005867999999999984,0.001466999999999996
1d4,I/d,1.0,0.5,0.25,30,300,0.05,45,0.655115,0.016185,0.0,-3.310881,-3.305535,4,0.005346000000000295,0.0013365000000000737
1d4,I/d,1.3,0.5,0.25,30,300,0.05,54,0.736037,0.014472,0.0,-3.665542,-3.66153,4,0.0040119999999999045,0.0010029999999999761
1d4,I/d,1.7,0.5,0.25,30,300,0.05,63,0.810242,0.011161,0.0,-3.919763,-3.917611,4,0.002152000000000154,0.0005380000000000384
1d4,I/d,2.2,0.5,0.25,30,300,0.05,70,0.855763,0.007609,0.0,-4.065906,-4.065257,4,0.0006490000000001217,0.00016225000000003043
1d4,I/d,2.8,0.5,0.25,30,300,0.05,76,0.901599,0.004795,0.0,-4.137754,-4.137841,4,8.699999999972619e-05,2.1749999999931546e-05
1d4,I/d,3.5,0.5,0.25,30,300,0.05,80,0.923468,0.00297,0.0,-4.169204,-4.169508,4,0.0003040000000007481,7.600000000018703e-05
