file,dataset,theta,theta2,lambda,beta,variant,source,microscopic_status,filter_status,T_status,fixed_point_eigval_real,fixed_point_eigval_imag,fixed_point_residual_F,fixed_method_used,kraus_TP_error_F,super_TP_error_F,S_rand_identity_error_F_if_lambda0,eigval1_real,eigval1_imag,eig_residual_F,eigval2_real,eigval2_imag,spectral_gap_abs_1_minus_abs_eig2,n_eigvals_close_to_1_tol_1e8,n_eigvals_close_to_1_tol_1e6,lstsq_residual_F,D_iter_mixed_vs_iter_beta,D_iter_mixed_vs_eig,D_iter_mixed_vs_lstsq,iter_mixed_cycles,iter_mixed_converged,iter_mixed_last_delta_trace,iter_mixed_residual_F,iter_beta_cycles,iter_beta_converged,iter_beta_last_delta_trace,iter_beta_residual_F,D_fix_beta,D_fix_eff,D_eff_beta,D_fix_Gibbs_Hs_plus_Hmf,D_fix_Gibbs_Hs_plus_theta2_Cpaper,D_fix_Gibbs_Hs_plus_theta2_Cpaper_formula,norm_logeff_minus_logfix_dev_F,norm_logeff_minus_logfix_raw_F,norm_Hfixcorr_F,norm_Hmf_F,norm_dev_Hfixcorr_minus_Hmf_F,norm_theta2_Cpaper_F,norm_theta2_Cpaper_formula_F,norm_theta2_GLS_F,norm_theta2_DeltaG_F,cos_Cnum_Cpaper_offE,cos_Cnum_Cpaper_formula_offE,cos_Cnum_Cmf_offE,cos_Cnum_GLS_offE,cos_Cnum_DeltaG_offE,abs_cos_Cnum_Cpaper_offE,abs_cos_Cnum_Cpaper_formula_offE,abs_cos_Cnum_Cmf_offE,abs_cos_Cnum_GLS_offE,abs_cos_Cnum_DeltaG_offE,alpha_Cnum_vs_Cpaper_offE,alpha_Cnum_vs_Cpaper_formula_offE,alpha_Cnum_vs_Cmf_offE,alpha_Cnum_vs_GLS_offE,alpha_Cnum_vs_DeltaG_offE,resid_Cnum_vs_Cpaper_offE,resid_Cnum_vs_Cpaper_formula_offE,resid_Cnum_vs_Cmf_offE,resid_Cnum_vs_GLS_offE,resid_Cnum_vs_DeltaG_offE
from_scratch_generated,mixed_general,0.07071067811865475,0.005,0.0,1.0,stored_rho_mf,from_scratch_unmodulated_f_eq_1,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999797,-3.265523922532543e-16,1.359012392571594e-13,iterate_from_maximally_mixed,4.459530912510832e-14,4.421915340469995e-14,0.0,0.9999999999999797,-3.265523922532543e-16,1.5570412524783862e-14,0.9994505551185302,-9.631762052893793e-17,0.0005494448814697961,1,1,2.160048377545272e-14,1.6230449390135548e-10,1.818761731172485e-10,1.7069831042610685e-10,37725,True,9.961638879535648e-14,1.359012392571594e-13,30350,True,9.847115965430168e-14,1.3905341785193876e-13,0.0007793099671449056,0.0008672058630938062,0.0003683178842261365,0.0008672058630953273,0.0012837051256192017,0.0012837051256192017,0.019830878941982117,0.028481592665397383,0.01171107687328897,0.017511014115183965,0.01983087894198214,0.0071035428478414655,0.0071035428478414655,0.007548408107202268,0.007738677007347252,-0.982350962342705,-0.982350962342705,-0.06773266521700386,0.12600825817834727,-0.10822408134208975,0.982350962342705,0.982350962342705,0.06773266521700386,0.12600825817834727,0.10822408134208975,-1.289810674332593,-1.289810674332593,-0.26607486130187374,1.920640613550164,-0.5570790200397732,0.18704701757676123,0.18704701757676123,0.9977035060891594,0.9920291925497248,0.9941265252560465
from_scratch_generated,mixed_general,0.07071067811865475,0.005,0.0,1.0,instant_fmax,from_scratch_instant_fmax=1.59576995958,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999797,-3.265523922532543e-16,1.359012392571594e-13,iterate_from_maximally_mixed,4.459530912510832e-14,4.421915340469995e-14,0.0,0.9999999999999797,-3.265523922532543e-16,1.5570412524783862e-14,0.9994505551185302,-9.631762052893793e-17,0.0005494448814697961,1,1,2.160048377545272e-14,1.6230449390135548e-10,1.818761731172485e-10,1.7069831042610685e-10,37725,True,9.961638879535648e-14,1.359012392571594e-13,30350,True,9.847115965430168e-14,1.3905341785193876e-13,0.0007793099671449056,0.0012553390284469291,0.0009374092688758034,0.0012553390284469048,0.0012837051256192017,0.0012837051256192017,0.044095924297244495,0.0695419154337833,0.01171107687328897,0.043991231416135104,0.044095924297244654,0.0071035428478414655,0.0071035428478414655,0.007548408107202268,0.007738677007347252,-0.982350962342705,-0.982350962342705,-0.06808334116716071,0.12600825817834727,-0.10822408134208975,0.982350962342705,0.982350962342705,0.06808334116716071,0.12600825817834727,0.10822408134208975,-1.289810674332593,-1.289810674332593,-0.10566881477232799,1.920640613550164,-0.5570790200397732,0.18704701757676123,0.18704701757676123,0.9976796372861962,0.9920291925497248,0.9941265252560465
from_scratch_generated,mixed_general,0.07071067811865475,0.005,0.0,1.0,f2avg_Hmf,from_scratch_f2_weighted_average_of_Hmf_t,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999797,-3.265523922532543e-16,1.359012392571594e-13,iterate_from_maximally_mixed,4.459530912510832e-14,4.421915340469995e-14,0.0,0.9999999999999797,-3.265523922532543e-16,1.5570412524783862e-14,0.9994505551185302,-9.631762052893793e-17,0.0005494448814697961,1,1,2.160048377545272e-14,1.6230449390135548e-10,1.818761731172485e-10,1.7069831042610685e-10,37725,True,9.961638879535648e-14,1.359012392571594e-13,30350,True,9.847115965430168e-14,1.3905341785193876e-13,0.0007793099671449056,0.0010455522838256567,0.0006624928669142947,0.0010455522838256567,0.0012837051256192017,0.0012837051256192017,0.031970160641749276,0.04944122171304938,0.01171107687328897,0.031233878832551895,0.03197016064172638,0.0071035428478414655,0.0071035428478414655,0.007548408107202268,0.007738677007347252,-0.982350962342705,-0.982350962342705,-0.06797770070599195,0.12600825817834727,-0.10822408134208975,0.982350962342705,0.982350962342705,0.06797770070599195,0.12600825817834727,0.10822408134208975,-1.289810674332593,-1.289810674332593,-0.148933318933672,1.920640613550164,-0.5570790200397732,0.18704701757676123,0.18704701757676123,0.9976868407505065,0.9920291925497248,0.9941265252560465
from_scratch_generated,mixed_general,0.1,0.01,0.0,1.0,stored_rho_mf,from_scratch_unmodulated_f_eq_1,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999983,1.7660148338409839e-16,1.392525386432059e-13,iterate_from_maximally_mixed,3.4241250462944187e-14,3.4428735289624935e-14,0.0,0.9999999999999983,1.7660148338409839e-16,2.0996255856323763e-15,0.9988989069818845,-4.171307702493891e-17,0.001101093018115451,1,1,1.3175144008927063e-15,7.22001582814651e-11,9.044453630734734e-11,9.035078953175136e-11,19450,True,9.990960724752584e-14,1.392525386432059e-13,15700,True,9.996946328985988e-14,1.405145749195883e-13,0.001535729150510823,0.0017137407707672843,0.0007363790391790391,0.001713740770768563,0.0025552881973620583,0.0025552881973620583,0.03676220392767669,0.05316578252997509,0.02298040684132357,0.03471511597910452,0.03676220392767662,0.014207085695682931,0.014207085695682931,0.015096816214404537,0.015477354014694505,-0.978831216664412,-0.978831216664412,-0.0636865502691846,0.11838185107418163,-0.10894885638752798,0.978831216664412,0.978831216664412,0.0636865502691846,0.11838185107418163,0.10894885638752798,-1.2842354760850714,-1.2842354760850714,-0.2509835839944335,1.8030583688306518,-0.5603935532148792,0.20466912146991562,0.20466912146991562,0.9979699511081538,0.9929681451769994,0.9940473563627892
from_scratch_generated,mixed_general,0.1,0.01,0.0,1.0,instant_fmax,from_scratch_instant_fmax=1.59576995958,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999983,1.7660148338409839e-16,1.392525386432059e-13,iterate_from_maximally_mixed,3.4241250462944187e-14,3.4428735289624935e-14,0.0,0.9999999999999983,1.7660148338409839e-16,2.0996255856323763e-15,0.9988989069818845,-4.171307702493891e-17,0.001101093018115451,1,1,1.3175144008927063e-15,7.22001582814651e-11,9.044453630734734e-11,9.035078953175136e-11,19450,True,9.990960724752584e-14,1.392525386432059e-13,15700,True,9.996946328985988e-14,1.405145749195883e-13,0.001535729150510823,0.0025028652616566243,0.0018731538908684175,0.002502865261656672,0.0025552881973620583,0.0025552881973620583,0.08360811205618655,0.133099197022543,0.02298040684132357,0.08610203544265085,0.08360811205618635,0.014207085695682931,0.014207085695682931,0.015096816214404537,0.015477354014694505,-0.978831216664412,-0.978831216664412,-0.06435039644327237,0.11838185107418163,-0.10894885638752798,0.978831216664412,0.978831216664412,0.06435039644327237,0.11838185107418163,0.10894885638752798,-1.2842354760850714,-1.2842354760850714,-0.10077649124072327,1.8030583688306518,-0.5603935532148792,0.20466912146991562,0.20466912146991562,0.9979273653315625,0.9929681451769994,0.9940473563627892
from_scratch_generated,mixed_general,0.1,0.01,0.0,1.0,f2avg_Hmf,from_scratch_f2_weighted_average_of_Hmf_t,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,0.9999999999999983,1.7660148338409839e-16,1.392525386432059e-13,iterate_from_maximally_mixed,3.4241250462944187e-14,3.4428735289624935e-14,0.0,0.9999999999999983,1.7660148338409839e-16,2.0996255856323763e-15,0.9988989069818845,-4.171307702493891e-17,0.001101093018115451,1,1,1.3175144008927063e-15,7.22001582814651e-11,9.044453630734734e-11,9.035078953175136e-11,19450,True,9.990960724752584e-14,1.392525386432059e-13,15700,True,9.996946328985988e-14,1.405145749195883e-13,0.001535729150510823,0.002078865186237182,0.0013231238820376428,0.002078865186237182,0.0025552881973620583,0.0025552881973620583,0.06014180969898919,0.09396315054221652,0.02298040684132357,0.061368202615169024,0.06014180969896442,0.014207085695682931,0.014207085695682931,0.015096816214404537,0.015477354014694505,-0.978831216664412,-0.978831216664412,-0.06415104405799377,0.11838185107418163,-0.10894885638752798,0.978831216664412,0.978831216664412,0.06415104405799377,0.11838185107418163,0.10894885638752798,-1.2842354760850714,-1.2842354760850714,-0.141572655609085,1.8030583688306518,-0.5603935532148792,0.20466912146991562,0.20466912146991562,0.9979402003859096,0.9929681451769994,0.9940473563627892
from_scratch_generated,mixed_general,0.1414213562373095,0.02,0.0,1.0,stored_rho_mf,from_scratch_unmodulated_f_eq_1,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.000000000000012,-6.024844804640089e-16,1.4079883363576362e-13,iterate_from_maximally_mixed,3.4911548529750483e-14,3.477532617364822e-14,0.0,1.000000000000012,-6.024844804640089e-16,9.664309181732888e-15,0.9977885614001212,-6.696813246087203e-16,0.0022114385998788233,1,1,1.344099833941803e-14,2.9639246831926295e-11,4.463839439626014e-11,4.678074908457981e-11,10000,True,9.90596887774534e-14,1.4079883363576362e-13,8125,True,9.935029531942044e-14,1.4082753280450464e-13,0.002970140806601812,0.003372411287537235,0.0014717312130661754,0.0033724112875381383,0.005043103358580197,0.005043103358580197,0.06405991137829235,0.0947280780410843,0.045974964884423944,0.06824713791955872,0.06405991137829231,0.028414171391365862,0.028414171391365862,0.030193632428809073,0.03095470802938901,-0.9666083741428061,-0.9666083741428061,-0.054956962722130596,0.10185574908128597,-0.11304209515543781,0.9666083741428061,0.9666083741428061,0.054956962722130596,0.10185574908128597,0.11304209515543781,-1.2570002506252056,-1.2570002506252056,-0.21633385343481779,1.5376523843663048,-0.576313260329683,0.25625817262479894,0.25625817262479894,0.998488724146827,0.9947991789195897,0.9935901995907915
from_scratch_generated,mixed_general,0.1414213562373095,0.02,0.0,1.0,instant_fmax,from_scratch_instant_fmax=1.59576995958,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.000000000000012,-6.024844804640089e-16,1.4079883363576362e-13,iterate_from_maximally_mixed,3.4911548529750483e-14,3.477532617364822e-14,0.0,1.000000000000012,-6.024844804640089e-16,9.664309181732888e-15,0.9977885614001212,-6.696813246087203e-16,0.0022114385998788233,1,1,1.344099833941803e-14,2.9639246831926295e-11,4.463839439626014e-11,4.678074908457981e-11,10000,True,9.90596887774534e-14,1.4079883363576362e-13,8125,True,9.935029531942044e-14,1.4082753280450464e-13,0.002970140806601812,0.004995091349153273,0.0037396501628821637,0.004995091349152879,0.005043103358580197,0.005043103358580197,0.15165403486068293,0.24664300373936232,0.045974964884423944,0.165318373761397,0.15165403486068285,0.028414171391365862,0.028414171391365862,0.030193632428809073,0.03095470802938901,-0.9666083741428061,-0.9666083741428061,-0.05613913057340451,0.10185574908128597,-0.11304209515543781,0.9666083741428061,0.9666083741428061,0.05613913057340451,0.10185574908128597,0.11304209515543781,-1.2570002506252056,-1.2570002506252056,-0.08876544797952562,1.5376523843663048,-0.576313260329683,0.25625817262479894,0.25625817262479894,0.9984229554745133,0.9947991789195897,0.9935901995907915
from_scratch_generated,mixed_general,0.1414213562373095,0.02,0.0,1.0,f2avg_Hmf,from_scratch_f2_weighted_average_of_Hmf_t,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.000000000000012,-6.024844804640089e-16,1.4079883363576362e-13,iterate_from_maximally_mixed,3.4911548529750483e-14,3.477532617364822e-14,0.0,1.000000000000012,-6.024844804640089e-16,9.664309181732888e-15,0.9977885614001212,-6.696813246087203e-16,0.0022114385998788233,1,1,1.344099833941803e-14,2.9639246831926295e-11,4.463839439626014e-11,4.678074908457981e-11,10000,True,9.90596887774534e-14,1.4079883363576362e-13,8125,True,9.935029531942044e-14,1.4082753280450464e-13,0.002970140806601812,0.0041328827496488335,0.0026389498944390547,0.0041328827496488335,0.005043103358580197,0.005043103358580197,0.10753929452986659,0.1722455621406075,0.045974964884423944,0.11866366884606859,0.10753929452986621,0.028414171391365862,0.028414171391365862,0.030193632428809073,0.03095470802938901,-0.9666083741428061,-0.9666083741428061,-0.0557865062546297,0.10185574908128597,-0.11304209515543781,0.9666083741428061,0.9666083741428061,0.0557865062546297,0.10185574908128597,0.11304209515543781,-1.2570002506252056,-1.2570002506252056,-0.123905008665397,1.5376523843663048,-0.576313260329683,0.25625817262479894,0.25625817262479894,0.998442720299919,0.9947991789195897,0.9935901995907915
from_scratch_generated,mixed_general,0.2,0.04,0.0,1.0,stored_rho_mf,from_scratch_unmodulated_f_eq_1,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.0000000000000155,6.480827340190258e-16,1.2865718724469732e-13,iterate_from_maximally_mixed,4.0090036717784755e-14,4.007385790314744e-14,0.0,1.0000000000000155,6.480827340190258e-16,6.426621003759262e-15,0.9955364527326266,-1.2660120089266763e-15,0.004463547267373413,1,1,8.743893796512746e-15,1.2923498911945583e-11,2.0355737129869297e-11,2.1035505114046505e-11,5125,True,9.115188341688632e-14,1.2865718724469732e-13,4200,True,9.408064293132622e-14,1.3196604448904547e-13,0.005540848430440776,0.006588634733999333,0.002939355414912302,0.006588634733999451,0.009759930152412064,0.009759930152412064,0.10373890383353183,0.15645200582909544,0.10458001703308185,0.1320858982653457,0.10373890383353165,0.056828342782731724,0.056828342782731724,0.060387264857618146,0.06190941605877802,-0.9261971747833077,-0.9261971747833077,-0.03658457067130911,0.06721646257385841,-0.1303442449084425,0.9261971747833077,0.9261971747833077,0.03658457067130911,0.06721646257385841,0.1303442449084425,-1.1540484706438536,-1.1540484706438536,-0.14004762816619667,0.9722636717385866,-0.6367164370951127,0.3770395117536347,0.3770395117536347,0.9993305605197892,0.9977384161988838,0.9914687982076126
from_scratch_generated,mixed_general,0.2,0.04,0.0,1.0,instant_fmax,from_scratch_instant_fmax=1.59576995958,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.0000000000000155,6.480827340190258e-16,1.2865718724469732e-13,iterate_from_maximally_mixed,4.0090036717784755e-14,4.007385790314744e-14,0.0,1.0000000000000155,6.480827340190258e-16,6.426621003759262e-15,0.9955364527326266,-1.2660120089266763e-15,0.004463547267373413,1,1,8.743893796512746e-15,1.2923498911945583e-11,2.0355737129869297e-11,2.1035505114046505e-11,5125,True,9.115188341688632e-14,1.2865718724469732e-13,4200,True,9.408064293132622e-14,1.3196604448904547e-13,0.005540848430440776,0.009949313478884409,0.007452679075535421,0.009949313478883535,0.009759930152412064,0.009759930152412064,0.25498562879417697,0.43073528830058117,0.10458001703308185,0.30718372598225313,0.25498562879417674,0.056828342782731724,0.056828342782731724,0.060387264857618146,0.06190941605877802,-0.9261971747833077,-0.9261971747833077,-0.038440427594199404,0.06721646257385841,-0.1303442449084425,0.9261971747833077,0.9261971747833077,0.038440427594199404,0.06721646257385841,0.1303442449084425,-1.1540484706438536,-1.1540484706438536,-0.060224948100960726,0.9722636717385866,-0.6367164370951127,0.3770395117536347,0.3770395117536347,0.9992608936240701,0.9977384161988838,0.9914687982076126
from_scratch_generated,mixed_general,0.2,0.04,0.0,1.0,f2avg_Hmf,from_scratch_f2_weighted_average_of_Hmf_t,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.0000000000000155,6.480827340190258e-16,1.2865718724469732e-13,iterate_from_maximally_mixed,4.0090036717784755e-14,4.007385790314744e-14,0.0,1.0000000000000155,6.480827340190258e-16,6.426621003759262e-15,0.9955364527326266,-1.2660120089266763e-15,0.004463547267373413,1,1,8.743893796512746e-15,1.2923498911945583e-11,2.0355737129869297e-11,2.1035505114046505e-11,5125,True,9.115188341688632e-14,1.2865718724469732e-13,4200,True,9.408064293132622e-14,1.3196604448904547e-13,0.005540848430440776,0.008190562065991714,0.005249790565641127,0.008190562065991714,0.009759930152412064,0.009759930152412064,0.1769788478232071,0.29564355737654097,0.10458001703308185,0.2231757994237923,0.1769788478231995,0.056828342782731724,0.056828342782731724,0.060387264857618146,0.06190941605877802,-0.9261971747833077,-0.9261971747833077,-0.03789515248296749,0.06721646257385841,-0.1303442449084425,0.9261971747833077,0.9261971747833077,0.03789515248296749,0.06721646257385841,0.1303442449084425,-1.1540484706438536,-1.1540484706438536,-0.08294134358428777,0.9722636717385866,-0.6367164370951127,0.3770395117536347,0.3770395117536347,0.9992817207466035,0.9977384161988838,0.9914687982076126
from_scratch_generated,mixed_general,0.22360679774997896,0.05,0.0,1.0,stored_rho_mf,from_scratch_unmodulated_f_eq_1,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.0000000000000104,4.684165075240219e-16,1.253262986541053e-13,iterate_from_maximally_mixed,3.6916973399652767e-14,3.65777737591189e-14,0.0,1.0000000000000104,4.684165075240219e-16,1.0674512405203819e-14,0.9943931825507694,-4.530442518756063e-16,0.005606817449230639,1,1,1.487662988720644e-14,1.1377360379395383e-11,1.557277810022099e-11,1.652454947412134e-11,4125,True,8.797948247230455e-14,1.253262986541053e-13,3400,True,8.578217797936909e-14,1.2092491942028076e-13,0.006723993558183317,0.008167211004570341,0.0036716276931156545,0.00816721100457013,0.011998263851181228,0.011998263851181228,0.12310003560812444,0.18310898011002164,0.1409694924680897,0.16253427397751596,0.12310003560812456,0.07103542847841465,0.07103542847841465,0.07548408107202269,0.07738677007347253,-0.9014349688744314,-0.9014349688744314,-0.02777504111061672,0.050879857972838234,-0.14226606989402232,0.9014349688744314,0.9014349688744314,0.02777504111061672,0.050879857972838234,0.14226606989402232,-1.0899482692589737,-1.0899482692589737,-0.10391463673834588,0.7141758872412421,-0.6743827020073552,0.43291453762879417,0.43291453762879417,0.9996141991244939,0.9987047812305012,0.9898284524890708
from_scratch_generated,mixed_general,0.22360679774997896,0.05,0.0,1.0,instant_fmax,from_scratch_instant_fmax=1.59576995958,constructed_rigorously_from_Hs_Hb_V,constructed_gaussian_f_t_on_grid,T=1.25; a=4; n_time=301,1.0000000000000104,4.684165075240219e-16,1.253262986541053e-13,iterate_from_maximally_mixed,3.6916973399652767e-14,3.65777737591189e-14,0.0,1.0000000000000104,4.684165075240219e-16,1.0674512405203819e-14,0.9943931825507694,-4.530442518756063e-16,0.005606817449230639,1,1,1.487662988720644e-14,1.1377360379395383e-11,1.557277810022099e-11,1.652454947412134e-11,4125,True,8.797948247230455e-14,1.253262986541053e-13,3400,True,8.578217797936909e-14,1.2092491942028076e-13,0.006723993558183317,0.012400635213361266,0.009299217369286527,0.012400635213360853,0.011998263851181228,0.011998263851181228,0.2971389605400103,0.5083453196471153,0.1409694924680897,0.37134365287979443,0.29713896054001043,0.07103542847841465,0.07103542847841465,0.07548408107202269,0.07738677007347253,-0.9014349688744314,-0.9014349688744314,-0.02984180825345443,0.050879857972838234,-0.14226606989402232,0.9014349688744314,0.9014349688744314,0.02984180825345443,0.050879857972838234,0.14226606989402232,-1.0899482692589737,-1.0899482692589737,-0.046070843677753756,0.7141758872412421,-0.6743827020073552,0.43291453762879417,0.43291453762879417,0.9995546340646736,0.9987047812305012,0.9898284524890708
