N,model,Jxx,gz,Jzz,gx,hz,beta,bath_h,theta,delta,reset_time,T_over_a,lambda_rand,filter_a,M,Aop,ncycles,ntraj,maxdim,cutoff,init,obs_level,mode,sample_start,sample_stride,n_late_samples_total,n_trajectory_blocks,samples_per_traj_mean,completed_cycles_mean,completed_cycles_min,completed_cycles_max,n_early_stopped,early_stopped_any,E_mean,E_stderr,E_sample_stderr_mean,E_mean_abs_drift,E_signed_drift_mean,E_aggregate_abs_drift,stationary_E,stationary_E_conservative,stationary_E_aggregate,MZ_mean,MZ_stderr,MZ_sample_stderr_mean,MZ_mean_abs_drift,MZ_signed_drift_mean,MZ_aggregate_abs_drift,MX_mean,MX_stderr,MX_mean_abs_drift,MX_signed_drift_mean,MX_aggregate_abs_drift,XX_mean,XX_stderr,ZZ_mean,ZZ_stderr,ZZ_mean_abs_drift,ZZ_signed_drift_mean,ZZ_aggregate_abs_drift,BATH_mean,BATH_stderr,BOND_mean,BOND_stderr,BOND_max,BOND_peak_all,check_bond_every,reset_cutoff,reset_maxdim,reset_site_compress_every,reset_site_compress_cutoff,reset_site_compress_maxdim,post_reset_compress,post_reset_cutoff,post_reset_maxdim,post_randomize_compress,post_randomize_cutoff,post_randomize_maxdim,intra_compress_every_layer,intra_compress_cutoff,intra_compress_maxdim,extra_compress_every,extra_compress_cutoff,extra_compress_maxdim,early_stop_on_sat,sat_frac,sat_patience,MR_mean,OUTCOME_mean,E_gibbs,MZ_gibbs,MX_gibbs,XX_gibbs,ZZ_gibbs,E_abs_error,MZ_abs_error,MX_abs_error,XX_abs_error,ZZ_abs_error,saturated,walltime_sec,sec_per_traj_cycle,progress_cycles,julia_threads,theta2,theta_input,ncycles_used,theta_cycle_mode,theta_ref,theta_cycle_power,min_ncycles,max_ncycles,rep,file
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,4.0,0.45,0.0785398163397448,0.75,3.0,0.0,4.0,10,ZplusY,731,1,512,1e-05,random_product,fast,steady_blocked,1,1,731,1,731.0,731.0,731.0,731.0,0,False,-1.054480961255403,,0.0027574170755709,0.0238618510881094,-0.0238618510881094,0.0238618510881094,False,False,False,-0.1659136351094496,,0.0002848894909181,0.0008870941065911,-0.0008870941065911,0.0008870941065911,-0.5081287014663861,,0.0145900275283926,-0.0145900275283926,0.0145900275283926,,,-0.4848993894479091,,0.0104710653225749,-0.0104710653225749,0.0104710653225749,,,116.63611491108064,,431.0,431.0,1,1e-05,512,0,1e-05,512,False,1e-05,512,False,1e-05,512,0,1e-05,512,1,1e-05,512,True,0.95,5,0.0,0.0363885088919288,-1.084500814291,-0.159938170214,-0.535583127785,,-0.49544831106,0.030019853035597,0.0059754648954496,0.0274544263186138,,0.0105489216120908,False,21082.036212205887,28.839994818339107,True,1,0.2025,0.45,731,fixed,0.45,2.0,731,731,911,N20_fulltrace_theta045_rt075_chi512_xchi384_cut1e5_xcut3e5_ncy731_rep911_theta_scaling.csv
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,4.0,0.45,0.0785398163397448,0.75,3.0,0.0,4.0,10,ZplusY,731,1,512,1e-05,random_product,fast,steady_blocked,1,1,731,1,731.0,731.0,731.0,731.0,0,False,-1.054994246619558,,0.0026910351232225,0.0348560995982376,-0.0348560995982376,0.0348560995982376,False,False,False,-0.165585264563972,,0.0003635270904967,0.0006235915697885,-0.0006235915697885,0.0006235915697885,-0.5089195001097458,,0.0196763039280781,-0.0196763039280781,0.0196763039280781,,,-0.4849663997242506,,0.0174256811740341,-0.0174256811740341,0.0174256811740341,,,116.39124487004106,,400.0,400.0,1,1e-05,512,0,1e-05,512,False,1e-05,512,False,1e-05,512,0,1e-05,512,1,1e-05,512,True,0.95,5,0.0,0.035704514363885,-1.084500814291,-0.159938170214,-0.535583127785,,-0.49544831106,0.0295065676714418,0.005647094349972,0.026663627675254,,0.0104819113357493,False,20447.91915512085,27.97252962396833,True,1,0.2025,0.45,731,fixed,0.45,2.0,731,731,912,N20_fulltrace_theta045_rt075_chi512_xchi384_cut1e5_xcut3e5_ncy731_rep912_theta_scaling.csv
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,4.0,0.45,0.0785398163397448,0.75,3.0,0.0,4.0,10,ZplusY,731,1,512,1e-05,random_product,fast,steady_blocked,1,1,731,1,731.0,731.0,731.0,731.0,0,False,-1.0601729406251044,,0.0021036186981719,0.0211908128345568,-0.0211908128345568,0.0211908128345568,False,False,False,-0.167208572922394,,0.0002484767973212,0.0002881314301589,0.0002881314301589,0.0002881314301589,-0.5124836970838568,,0.0124121933803296,-0.0124121933803296,0.0124121933803296,,,-0.4856417906510933,,0.0107337707884713,-0.0107337707884713,0.0107337707884713,,,113.37619699042403,,366.0,366.0,1,1e-05,512,0,1e-05,512,False,1e-05,512,False,1e-05,512,0,1e-05,512,1,1e-05,512,True,0.95,5,0.0,0.0345417236662106,-1.084500814291,-0.159938170214,-0.535583127785,,-0.49544831106,0.0243278736658956,0.007270402708394,0.0230994307011431,,0.0098065204089066,False,19005.351338863373,25.999112638663984,True,1,0.2025,0.45,731,fixed,0.45,2.0,731,731,913,N20_fulltrace_theta045_rt075_chi512_xchi384_cut1e5_xcut3e5_ncy731_rep913_theta_scaling.csv
