N,model,JXX,GZ,JZZ,GX,HZ,beta,ntau,maxdim,cutoff,E,MZ,MX,XX,ZZ,BOND,file,dE,dMZ,dMX,dXX,dZZ
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,100,32,1e-10,-1.0844444352903326,-0.1599373461487167,-0.5354956176398775,0.3218554046154844,-0.4954729853692138,5,N20_thermal_ref_ntau100_chi32_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.0003015339028651365,-2.2198905597820007e-05,-0.0005119374228708118,0.001125443657720604,0.0001889183271033823
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,100,64,1e-10,-1.0844444352903326,-0.1599373461487167,-0.5354956176398775,0.3218554046154844,-0.4954729853692138,5,N20_thermal_ref_ntau100_chi64_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.0003015339028651365,-2.2198905597820007e-05,-0.0005119374228708118,0.001125443657720604,0.0001889183271033823
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,100,128,1e-10,-1.0844444352903326,-0.1599373461487167,-0.5354956176398775,0.3218554046154844,-0.4954729853692138,5,N20_thermal_ref_ntau100_chi128_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.0003015339028651365,-2.2198905597820007e-05,-0.0005119374228708118,0.001125443657720604,0.0001889183271033823
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,100,128,1e-09,-1.084245297018667,-0.1599229951931468,-0.5351569464232186,0.3211250508952123,-0.4955980377553798,4,N20_thermal_ref_ntau100_chi128_thermal_ref_N20_mixed_ising.csv,-0.00010239563119940343,-7.847950027894957e-06,-0.00017326620621194166,0.00039508993744852283,6.386594093737985e-05
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,200,32,1e-10,-1.084359690732931,-0.1599297064054628,-0.5353468441497494,0.3215524273753337,-0.4955319344394359,4,N20_thermal_ref_ntau200_chi32_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00021678934546343065,-1.4559162343913412e-05,-0.0003631639327427161,0.0008224664175698893,0.00012996925688130156
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,200,64,1e-10,-1.084359690732931,-0.1599297064054628,-0.5353468441497494,0.3215524273753337,-0.4955319344394359,4,N20_thermal_ref_ntau200_chi64_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00021678934546343065,-1.4559162343913412e-05,-0.0003631639327427161,0.0008224664175698893,0.00012996925688130156
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,200,128,1e-10,-1.084359690732931,-0.1599297064054628,-0.5353468441497494,0.3215524273753337,-0.4955319344394359,4,N20_thermal_ref_ntau200_chi128_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00021678934546343065,-1.4559162343913412e-05,-0.0003631639327427161,0.0008224664175698893,0.00012996925688130156
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,300,32,1e-10,-1.0842567276518351,-0.1599223075461703,-0.5351721908001403,0.3211688996511787,-0.4955961413350069,4,N20_thermal_ref_ntau300_chi32_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00011382626436762244,-7.160303051395589e-06,-0.00018851058313362756,0.0004389386934148809,6.576236131028423e-05
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,300,64,1e-10,-1.0842567276518351,-0.1599223075461703,-0.5351721908001403,0.3211688996511787,-0.4955961413350069,4,N20_thermal_ref_ntau300_chi64_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00011382626436762244,-7.160303051395589e-06,-0.00018851058313362756,0.0004389386934148809,6.576236131028423e-05
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,300,128,1e-10,-1.0842567276518351,-0.1599223075461703,-0.5351721908001403,0.3211688996511787,-0.4955961413350069,4,N20_thermal_ref_ntau300_chi128_cut1em10_thermal_ref_N20_mixed_ising.csv,-0.00011382626436762244,-7.160303051395589e-06,-0.00018851058313362756,0.0004389386934148809,6.576236131028423e-05
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,400,32,1e-10,-1.0841429013874675,-0.1599151472431189,-0.5349836802170067,0.3207299609577638,-0.4956619036963172,4,N20_thermal_ref_ntau400_chi32_cut1em10_thermal_ref_N20_mixed_ising.csv,0.0,0.0,0.0,0.0,0.0
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,400,64,1e-10,-1.0841429013874675,-0.1599151472431189,-0.5349836802170067,0.3207299609577638,-0.4956619036963172,4,N20_thermal_ref_ntau400_chi64_cut1em10_thermal_ref_N20_mixed_ising.csv,0.0,0.0,0.0,0.0,0.0
20,mixed_ising,1.0,1.5,1.0,0.9045,0.809,1.0,400,128,1e-10,-1.0841429013874675,-0.1599151472431189,-0.5349836802170067,0.3207299609577638,-0.4956619036963172,4,N20_thermal_ref_ntau400_chi128_cut1em10_thermal_ref_N20_mixed_ising.csv,0.0,0.0,0.0,0.0,0.0
