N,ntraj,F_ss,F_ss_sem,infidelity_ss,infidelity_ss_sem,D_ss,D_ss_sem,eps_infid,t_th_infid_abs,cycle_th_infid_abs,eps_D,t_th_D_abs,cycle_th_D_abs,plateau_tol,infid_plateau_threshold,t_th_infid_plateau,cycle_th_infid_plateau,D_plateau_threshold,t_th_D_plateau,cycle_th_D_plateau,bond_peak_mean,bond_peak_max,n_points
8,6,0.9299660403383786,0.001647714250148114,0.07003395966162139,0.0016477142501481257,0.22983842287990255,0.00239624143276754,0.05,,,0.05,,,0.05,0.07353565764470246,528.0231852521044,249.0,0.2413303440238977,528.0231852521044,249.0,16.0,16.0,500
10,6,0.9545474220423674,0.0022356259155261976,0.04545257795763252,0.00223562591552621,0.18394326216597567,0.004076874154287252,0.05,23.32632545290421,11.0,0.05,,,0.05,0.04772520685551415,23.32632545290421,11.0,0.19314042527427447,23.32632545290421,11.0,29.833333333333332,31.0,500
12,6,0.9666893634031299,0.0012495240881882283,0.03331063659687019,0.0012495240881882118,0.1564798791266507,0.0033161400228076754,0.05,14.844025288211773,7.0,0.05,,,0.05,0.0349761684267137,21.205750411731103,10.0,0.16430387308298325,14.844025288211773,7.0,54.333333333333336,57.0,500
14,6,0.9798488360879986,0.0009874216302848777,0.02015116391200133,0.000987421630284834,0.1216420577845601,0.0027382473005673658,0.05,19.085175370557995,9.0,0.05,,,0.05,0.021158722107601394,27.567475535250438,13.0,0.1277241606737881,27.567475535250438,13.0,101.83333333333333,112.0,500
16,6,0.9849609407326573,0.0009831887696590677,0.015039059267342676,0.000983188769659103,0.10233235317596567,0.003494538116867632,0.05,16.964600329384883,8.0,0.05,,,0.05,0.01579101223070981,273.5541803113312,129.0,0.10744897083476396,25.44690049407733,12.0,167.83333333333334,197.0,500
18,6,0.9892198766087031,0.0004905231490345473,0.010780123391296824,0.0004905231490345224,0.08416972603088524,0.00122536919374123,0.05,21.205750411731103,10.0,0.05,,,0.05,0.011319129560861665,125.1139274292135,59.0,0.0883782123324295,29.688050576423546,14.0,249.16666666666666,254.0,500
20,6,0.9924922716084641,0.0005460504012480164,0.007507728391535933,0.0005460504012480284,0.0695119732273702,0.0026201488062965734,0.05,25.44690049407733,12.0,0.05,,,0.05,0.00788311481111273,924.570717951476,436.0,0.07298757188873871,80.58185156457819,38.0,361.5,379.0,500
