theta,theta2,n_reps,n_early_stopped_total,any_early_stopped,any_saturated,E_mean_mean_reps,E_mean_std_reps,E_mean_stderr_reps,MZ_mean_mean_reps,MZ_mean_std_reps,MZ_mean_stderr_reps,MX_mean_mean_reps,MX_mean_std_reps,MX_mean_stderr_reps,ZZ_mean_mean_reps,ZZ_mean_std_reps,ZZ_mean_stderr_reps,E_abs_error_mean_reps,E_abs_error_std_reps,E_abs_error_stderr_reps,MZ_abs_error_mean_reps,MZ_abs_error_std_reps,MZ_abs_error_stderr_reps,MX_abs_error_mean_reps,MX_abs_error_std_reps,MX_abs_error_stderr_reps,ZZ_abs_error_mean_reps,ZZ_abs_error_std_reps,ZZ_abs_error_stderr_reps,E_mean_abs_drift_mean_reps,E_mean_abs_drift_std_reps,E_mean_abs_drift_stderr_reps,BOND_mean_mean_reps,BOND_mean_std_reps,BOND_mean_stderr_reps,BOND_max_mean_reps,BOND_max_std_reps,BOND_max_stderr_reps,BOND_peak_all_mean_reps,BOND_peak_all_std_reps,BOND_peak_all_stderr_reps,walltime_sec_mean_reps,walltime_sec_std_reps,walltime_sec_stderr_reps,sec_per_traj_cycle_mean_reps,sec_per_traj_cycle_std_reps,sec_per_traj_cycle_stderr_reps
0.25,0.0625,1,0,False,False,-0.9887856361934546,,,-0.1655816621854171,,,-0.4749200107019207,,,-0.4476472861111208,,,0.0957151780975453,,,0.0056434919714171,,,0.0606631170830792,,,0.0478010249488791,,,0.060468823786793,,,157.7894736842105,,,384.0,,,384.0,,,15227.224657058716,,,253.78707761764525,,
0.35,0.1224999999999999,3,0,False,False,-1.0356700410805812,0.03574797654225675,0.02063910387965636,-0.16519439812927963,0.0013819584266373443,0.0007978740696279425,-0.4996751480476525,0.019831151399850356,0.011449520599043828,-0.4737595806156761,0.019857509324138885,0.01146473835372709,0.04883077321041877,0.03574797654225655,0.02063910387965625,0.005256227915279633,0.0013819584266373485,0.0007978740696279449,0.03590797973734747,0.019831151399850335,0.011449520599043816,0.0216887304443238,0.019857509324138867,0.01146473835372708,0.011132838721026697,0.012483125039268761,0.007207135601749577,100.92982456140352,19.582507693642324,11.305966088332314,376.0,7.211102550927978,4.163331998932265,376.0,7.211102550927978,4.163331998932265,9028.434935013453,2229.875693198117,1287.4193317273364,150.47391558355753,37.16459488663528,21.45698886212227
0.45,0.2025,3,0,False,False,-1.0691137308805165,0.00796854231588537,0.004600640051125342,-0.16628866133421563,0.0008986602351411977,0.0005188417286687829,-0.5148525994252986,0.005410523112818087,0.0031237669756422146,-0.4935810817694249,0.003463054517530539,0.0019993954579146066,0.015387083410483332,0.007968542315885363,0.004600640051125339,0.006350491120215633,0.0008986602351411872,0.0005188417286687768,0.020730528359701367,0.005410523112818064,0.0031237669756422016,0.0032797731028216,0.0010426874017521524,0.0006019958520822367,0.010973556955350567,0.005347775988351505,0.0030875399064405583,74.66666666666667,11.059688640948181,6.385314214004879,338.3333333333333,18.717193521821944,10.80637671829822,338.3333333333333,18.717193521821944,10.80637671829822,3799.3328506946564,876.9378667203697,506.30031341358165,63.32221417824428,14.61563111200616,8.438338556893026
0.55,0.3025,3,0,False,False,-1.0706258960122286,0.03358494305350539,0.01939027591265959,-0.1690358519357634,0.000799368601427927,0.00046151567721614835,-0.5141324830043708,0.021348408754869888,0.012325509541394294,-0.4935190114934132,0.014928065927368993,0.00861872288164697,0.028854256068149602,0.012956322622625202,0.007480336353880299,0.009097681721763366,0.0007993686014279232,0.00046151567721614613,0.022963159890786,0.01884117115169326,0.010877955236277916,0.010692872702316567,0.007544809978813242,0.0043559980722524,0.0398212351464606,0.03157168362268839,0.01822792003832884,62.6842105263158,11.535324525619448,6.65992272005608,177.33333333333334,32.020826556060875,18.487232831816065,177.33333333333334,32.020826556060875,18.487232831816065,1197.6107273101807,512.8884087609948,296.1162608623992,19.96017878850301,8.548140146016578,4.935271014373319
